20,40,60,zip,total,0,80
12562,17520,13939,2360,58500,12334,2145
2698,4168,2127,2364,13210,3447,770
78,99,18,2366,195,0,0
666,930,647,2367,2912,619,50
9097,9677,6325,2368,33980,7129,1752
4893,5251,3328,2370,17849,3816,561
2186,3211,1701,2375,9938,2477,363
1532,2050,1480,2379,7117,1684,371
3701,4636,2298,2382,14864,3830,399
1942,5026,2687,2420,14579,4043,881
2730,6113,3334,2421,18760,5284,1299
6764,4998,3495,2445,20774,4829,688
13376,5857,4563,2446,30113,4895,1422
6501,5100,3109,2451,18646,3139,797
5707,3096,2612,2452,15470,3543,512
11799,6427,3486,2453,28696,6014,970
888,0,0,2457,1680,792,0
3154,3836,2055,2458,12465,2734,686
3446,5450,4045,2459,19473,5596,936
2151,2907,1759,2460,9911,2809,285
1319,2233,1540,2461,7214,1861,261
239,389,335,2462,1520,353,204
762,1071,495,2464,3155,667,160
2078,3855,2124,2465,12112,3403,652
2022,2188,1298,2466,8568,2636,424
7113,3880,3255,2467,22105,6873,984
753,1704,1372,2468,5568,1538,201
12550,8673,5920,2472,34715,6010,1562
7608,8260,4308,2474,28028,6551,1301
3674,5017,3501,2476,16964,3708,1064
5568,7749,4449,2478,25940,6878,1296
2823,4643,2325,2481,16309,5874,644
1562,3349,2049,2482,11015,3390,665
3053,6061,3966,2492,20128,5791,1257
1664,3458,2188,2493,12027,3847,870
1872,3176,1658,2494,10301,3022,573
2674,4186,3186,2532,13337,2636,655
195,342,106,2534,815,148,24
301,476,428,2535,1757,517,35
3934,5199,5122,2536,19191,3802,1134
1236,1684,1702,2537,6572,1689,261
1133,1112,627,2538,3571,636,63
1030,1246,997,2539,4292,846,173
1226,1978,2877,2540,8294,1145,1068
415,115,0,2542,881,351,0
200,121,322,2543,909,161,105
0,0,0,2553,35,0,35
2997,3070,1840,2554,10590,2375,308
391,572,1244,2556,2869,207,455
716,1149,1103,2557,4675,1329,378
121,313,186,2558,749,129,0
595,1094,1027,2559,4028,738,574
48,130,48,2561,325,70,29
608,966,678,2562,3008,589,167
1523,2817,2696,2563,9501,1805,660
31,74,89,2564,312,82,36
1148,1255,763,2568,4100,815,119
2337,3077,2184,2571,10940,2653,689
288,723,939,2575,2417,311,156
940,1435,1105,2576,4873,1125,268
0,0,10,2584,10,0,0
4338,3861,2954,2601,15063,3343,567
509,452,740,2630,2277,452,124
1099,2900,3320,2631,9736,1734,683
2022,2647,2495,2632,9923,1899,860
728,765,1685,2633,4055,556,321
635,804,1034,2635,3301,542,286
14,32,64,2637,141,31,0
387,575,1489,2638,3011,238,322
531,808,887,2639,2949,583,140
0,17,146,2641,191,21,7
668,1313,1886,2642,4908,590,451
0,0,0,2643,0,0,0
1093,1411,763,2644,4393,1057,69
1654,2477,2990,2645,9516,1683,712
175,363,815,2646,1806,265,188
0,6,85,2647,121,6,24
1297,1957,1820,2648,6589,1321,194
2475,3692,4428,2649,14054,2455,1004
49,177,374,2650,906,111,195
0,0,0,2651,0,0,0
58,295,403,2652,942,181,5
648,1398,2388,2653,5905,849,622
403,904,1063,2655,3257,512,375
531,994,1047,2657,2952,226,154
155,254,331,2659,1030,205,85
1141,1455,2297,2660,6657,975,789
0,18,78,2663,96,0,0
1725,2255,2767,2664,9226,1580,899
96,117,310,2666,638,29,86
484,822,1073,2667,3075,412,284
400,824,1002,2668,2807,462,119
6,83,10,2669,158,52,7
167,312,438,2670,1158,104,137
160,171,436,2671,889,49,73
28,101,42,2672,368,110,87
2098,2352,2031,2673,8397,1249,667
927,1270,2079,2675,6314,890,1148
899,1446,1037,2702,4472,999,91
11206,13538,6741,2703,44326,10787,2054
0,7,17,2713,25,0,1
867,1108,582,2715,3703,956,190
1002,1405,1007,2717,4703,1088,201
1581,2017,1130,2718,6295,1269,298
3435,4544,3777,2719,16027,3251,1020
9237,8010,5726,2720,31126,6437,1716
7029,6789,4160,2721,25985,6571,1436
3889,4280,2161,2723,14236,3339,567
4754,5371,2713,2724,17391,3786,767
562,575,679,2725,2453,382,255
3248,4545,3467,2726,15804,3333,1211
555,1326,1469,2738,5065,1276,439
1161,1697,1761,2739,6245,1292,334
12507,11062,7143,2740,43686,10516,2458
2298,3133,2427,2743,10443,2123,462
3465,2835,1760,2744,11184,2799,325
5976,7397,4268,2745,24294,5170,1483
4922,3827,1757,2746,15637,4682,449
6980,6029,3575,2747,23568,5831,1153
2106,2804,3153,2748,11316,2096,1157
6541,8490,4302,2760,27100,7070,697
2040,2995,1612,2762,9000,2092,261
567,529,296,2763,1933,541,0
876,1388,655,2764,3872,850,103
4753,6147,3306,2766,19515,4782,527
3379,3879,2716,2767,14018,3632,412
2456,4227,2019,2769,11990,2924,364
767,1799,1160,2770,5199,1361,112
2997,5143,3338,2771,14957,3093,386
3443,4732,3768,2777,16204,3354,907
1363,2393,1194,2779,6630,1650,30
13133,13486,9313,2780,50358,12228,2198
3333,4520,3842,2790,15832,3228,909
22,54,137,2791,279,32,34
327,219,40,2802,903,317,0
518,683,501,2804,2076,295,79
2098,5714,2956,2806,16218,4670,780
97,295,295,2807,830,108,35
691,733,271,2808,2540,747,98
5920,5506,4363,2809,22318,4929,1600
95,568,225,2812,1348,447,13
1655,2373,2080,2813,7762,1405,249
1743,2665,1335,2814,7616,1648,225
10,112,33,2815,195,40,0
7422,10311,6086,2816,32664,7475,1370
989,2330,1086,2817,6084,1616,63
3149,6004,3785,2818,18348,4433,977
1419,2131,1404,2822,6424,1262,208
985,1988,1232,2825,5391,964,222
20,310,220,2826,773,223,0
360,659,605,2827,2047,331,92
1373,2596,1566,2828,7683,1449,699
1268,1687,1105,2830,5649,1365,224
644,1063,463,2831,3260,817,273
965,1664,978,2832,4708,995,106
